Type,TimeStamp,Latitude,Longitude,HAccuracy,Speed,Course
0,2017-09-22 20:45:30 +0000,37.485675,-121.914747,5,6.99,329.0625
0,2017-09-22 20:45:35 +0000,37.486032,-121.915005,5,10.15,332.226562
0,2017-09-22 20:45:40 +0000,37.486511,-121.915338,5,13.22,331.875
0,2017-09-22 20:45:45 +0000,37.486776,-121.915517,5,3.63,331.171875
0,2017-09-22 20:45:50 +0000,37.486921,-121.915624,5,2.93,330.63205
0,2017-09-22 20:45:56 +0000,37.487178,-121.915797,5,7.85,330.63205
0,2017-09-22 20:46:01 +0000,37.487457,-121.916004,5,6.92,330.63205
0,2017-09-22 20:46:06 +0000,37.487718,-121.916189,5,7.55,330.63205
0,2017-09-22 20:46:11 +0000,37.488099,-121.916448,5,11.57,330.63205
0,2017-09-22 20:46:16 +0000,37.488425,-121.91668,5,7.35,330.63205
0,2017-09-22 20:46:21 +0000,37.48873,-121.916895,5,7.29,330.63205
0,2017-09-22 20:46:26 +0000,37.488945,-121.917038,5,5.9,330.63205
0,2017-09-22 20:46:32 +0000,37.489314,-121.917308,5,10.28,330.63205
0,2017-09-22 20:46:37 +0000,37.489745,-121.917639,5,9.93,330.63205
0,2017-09-22 20:46:42 +0000,37.49019,-121.91797,5,11.79,330.63205
0,2017-09-22 20:46:47 +0000,37.490716,-121.918339,5,13.53,331.684235
0,2017-09-22 20:46:52 +0000,37.491229,-121.918701,5,13.76,329.980255
0,2017-09-22 20:46:57 +0000,37.491707,-121.919058,5,12.24,329.980255
0,2017-09-22 20:47:02 +0000,37.492215,-121.919464,5,12.7,345.585938
0,2017-09-22 20:47:07 +0000,37.492603,-121.919808,5,9.42,324.140625
0,2017-09-22 20:47:12 +0000,37.492891,-121.920077,5,7.76,323.085938
0,2017-09-22 20:47:17 +0000,37.493198,-121.920383,5,8.07,322.03125
0,2017-09-22 20:47:23 +0000,37.493471,-121.920678,5,4.31,319.21875
0,2017-09-22 20:47:29 +0000,37.493812,-121.92098,5,12.2,324.140625
0,2017-09-22 20:47:34 +0000,37.494197,-121.921401,5,10.77,318.867188
0,2017-09-22 20:47:39 +0000,37.494462,-121.921734,5,7.41,315.351562
0,2017-09-22 20:47:45 +0000,37.49471,-121.922026,5,5.49,313.59375
0,2017-09-22 20:47:50 +0000,37.4948,-121.922133,5,1.6,311.484375
0,2017-09-22 20:47:55 +0000,37.494889,-121.922252,5,3.26,311.484375
0,2017-09-22 20:48:00 +0000,37.49496,-121.922338,5,1.61,310.429688
0,2017-09-22 20:48:06 +0000,37.495017,-121.92244,5,1.85,307.617188
0,2017-09-22 20:48:21 +0000,37.49515,-121.922553,5,1.79,313.945312
0,2017-09-22 20:48:31 +0000,37.495306,-121.922713,5,2.7,312.539062
0,2017-09-22 20:48:36 +0000,37.495437,-121.922847,5,1.98,319.570312
0,2017-09-22 20:48:42 +0000,37.495578,-121.922994,5,3.53,318.867188
0,2017-09-22 20:48:47 +0000,37.495675,-121.923095,5,2.11,318.164062
0,2017-09-22 20:48:52 +0000,37.49576,-121.923196,5,1.96,318.515625
0,2017-09-22 20:48:57 +0000,37.495836,-121.923282,5,3.04,319.21875
0,2017-09-22 20:49:02 +0000,37.495931,-121.923394,5,2.88,320.976562
0,2017-09-22 20:49:08 +0000,37.496014,-121.923489,5,0.54,319.570312
0,2017-09-22 20:49:23 +0000,37.496133,-121.923624,5,1.99,318.867188
0,2017-09-22 20:49:33 +0000,37.496229,-121.92372,5,0.19,318.515625
0,2017-09-22 20:49:43 +0000,37.496328,-121.92384,5,2.18,317.460938
0,2017-09-22 20:49:48 +0000,37.496398,-121.923932,5,1.87,316.054688
0,2017-09-22 20:50:56 +0000,37.497293,-121.924896,5,2.31,318.164062
0,2017-09-22 20:51:01 +0000,37.497402,-121.925017,5,3.56,317.460938
0,2017-09-22 20:51:56 +0000,37.498331,-121.926084,5,1.18,320.625
0,2017-09-22 20:52:06 +0000,37.498403,-121.926168,5,1.17,318.515625
0,2017-09-22 20:52:17 +0000,37.498516,-121.9263,5,2.18,318.867188
0,2017-09-22 20:52:32 +0000,37.498601,-121.926383,5,1.28,316.40625
0,2017-09-22 20:52:37 +0000,37.49869,-121.926475,5,2.12,325.195312
0,2017-09-22 20:52:42 +0000,37.498774,-121.92655,5,2.67,320.766388
0,2017-09-22 20:52:47 +0000,37.498935,-121.926696,5,4.67,318.303833
0,2017-09-22 20:52:53 +0000,37.499049,-121.926828,5,2.21,318.303833
0,2017-09-22 20:52:58 +0000,37.499142,-121.926954,5,2.76,318.303833
0,2017-09-22 20:53:03 +0000,37.499232,-121.927075,5,4.06,318.303833
0,2017-09-22 20:53:08 +0000,37.499365,-121.92721,5,3.25,318.303833
0,2017-09-22 20:53:13 +0000,37.499466,-121.927324,5,2.56,318.303833
0,2017-09-22 20:53:18 +0000,37.499574,-121.927448,5,3.11,318.303833
0,2017-09-22 20:53:24 +0000,37.499743,-121.92764,5,4.14,318.12851
